Id,SalePrice
1461,110988.50034752284
1462,159202.04553492204
1463,178332.71845545986
1464,192935.03563871706
1465,234013.92069598942
1466,169585.03416882624
1467,185183.59730453795
1468,156847.27828186977
1469,195424.01207729935
1470,125245.30700782774
1471,147570.0684925387
1472,92976.17504770833
1473,89530.15078549815
1474,147632.93755405484
1475,98065.17737438186
1476,362687.0442399755
1477,253348.4255816469
1478,314592.9954076603
1479,327288.2146026931
1480,455594.0233151959
1481,312549.64359406097
1482,215194.46851056317
1483,171676.22702401335
1484,156269.825398002
1485,195163.1820136145
1486,191990.35408289096
1487,365077.6338082708
1488,226501.23168124564
1489,203973.42327855807
1490,262596.9154713992
1491,192379.0871389134
1492,105369.159863332
1493,207819.18967518385
1494,323274.79718899354
1495,288232.8164149934
1496,247530.9781145675
1497,179482.590416377
1498,184144.7725957989
1499,164522.27957501746
1500,156232.63008801482
1501,176322.8748655059
1502,137349.2439295606
1503,295737.3536566158
1504,242266.74620898862
1505,227868.66500468788
1506,180953.85693578405
1507,238731.3298304327
1508,191671.7416666919
1509,152508.4170122589
1510,150002.26945046632
1511,153129.17194530013
1512,172094.16361464903
1513,156589.81876527175
1514,150462.39857898682
1515,185045.57916648604
1516,156943.64690385846
1517,168529.0304092784
1518,121119.57164068456
1519,197871.49599811615
1520,120321.49483446131
1521,120342.24410720397
1522,184773.4756570171
1523,109434.84762283246
1524,121176.91417792212
1525,111055.01924331672
1526,104048.82904325245
1527,104067.0683586988
1528,130665.82881913788
1529,150105.64887638862
1530,213620.149016639
1531,139903.6667186058
1532,100584.92441941693
1533,140775.2986072108
1534,114206.32445738168
1535,143870.67614284187
1536,93638.6524495972
1537,60999.08458186436
1538,154220.88099776738
1539,211993.56113463675
1540,109327.89715596457
1541,145594.64608824108
1542,127459.14366040233
1543,180381.6536077166
1544,94974.76895194722
1545,115270.28267451172
1546,142671.72936096817
1547,141317.9599180683
1548,153969.84830632294
1549,122130.64099737676
1550,148290.85709914326
1551,115942.1551542235
1552,160092.16375214484
1553,149449.10285642504
1554,118406.43594922364
1555,142570.73687117436
1556,46544.72897656396
1557,117856.98394744942
1558,92260.88308557653
1559,84708.46093259373
1560,126371.97293655435
1561,119321.84931113519
1562,133985.97269389668
1563,122000.29173525568
1564,153839.86850488005
1565,152140.38941964303
1566,233214.44391886555
1567,87373.72162318014
1568,234245.5505979668
1569,126109.19852209854
1570,136167.95962320705
1571,81713.21575858427
1572,140719.56768282916
1573,252644.76764857597
1574,140495.8678485293
1575,235878.49289661334
1576,224773.33231795862
1577,185616.64809081535
1578,158402.82863789663
1579,152644.70060235233
1580,194285.9573320386
1581,169865.80644589028
1582,146064.15253944375
1583,259869.59097789475
1584,223038.01941970785
1585,130587.07111051428
1586,82705.78667365998
1587,127423.77394801605
1588,164768.8774281261
1589,93778.89044450084
1590,123304.58520694874
1591,96311.66082874389
1592,136226.2728501993
1593,142757.63087671652
1594,161648.15703916905
1595,101455.40209582978
1596,222415.78337820215
1597,199845.0839833647
1598,218154.80362122008
1599,183559.37175607582
1600,170357.41713217302
1601,68917.44859873719
1602,133669.47087276017
1603,105012.97893040709
1604,279588.2857627423
1605,215802.54374363695
1606,155404.8327289768
1607,162813.5778084249
1608,209978.0788629267
1609,174929.96022742952
1610,148853.65734645602
1611,138567.52743640047
1612,185754.74715914106
1613,161471.6250771493
1614,133875.06997881964
1615,84091.28177751595
1616,62752.86244891159
1617,89541.37433153455
1618,142207.03695179353
1619,146054.6458637226
1620,167800.26802728145
1621,113866.54238469049
1622,141130.24131276825
1623,235642.67379435693
1624,193704.36415941088
1625,111897.57150064019
1626,167399.23548812285
1627,186788.95969139686
1628,268986.208121284
1629,190166.56163230533
1630,352211.61278289626
1631,269760.33004894113
1632,250793.79126656023
1633,188170.13472750218
1634,184067.55073018424
1635,171391.6940124387
1636,160564.82506197545
1637,201975.20051227824
1638,181409.79153044248
1639,185293.21319249488
1640,239398.4265667637
1641,176472.83314619126
1642,267431.90556558035
1643,225813.39977099295
1644,242473.31232610732
1645,196570.1351006034
